date_range_start,county,type,month_count
2019-01,18109,supermarket,3563
2019-01,18111,supermarket,418
2019-01,18113,supermarket,1326
2019-01,18115,supermarket,222
2019-01,18117,supermarket,450
2019-01,18119,supermarket,584
2019-01,18121,supermarket,564
2019-01,18123,supermarket,336
2019-01,18125,supermarket,477
2019-01,18127,supermarket,8226
2019-01,18129,supermarket,1066
2019-01,18131,supermarket,357
2019-01,18133,supermarket,1390
2019-01,18135,supermarket,771
2019-01,18137,supermarket,1254
2019-01,18139,supermarket,498
2019-01,18141,supermarket,9354
2019-01,18143,supermarket,798
2019-01,18145,supermarket,1875
2019-01,18147,supermarket,705
2019-01,18149,supermarket,510
2019-01,18151,supermarket,1139
2019-01,18153,supermarket,461
2019-01,18155,supermarket,218
2019-01,18157,supermarket,7313
2019-01,18159,supermarket,939
2019-01,18161,supermarket,277
2019-01,18163,supermarket,6513
2019-01,18165,supermarket,636
2019-01,18167,supermarket,4244
2019-01,18169,supermarket,645
2019-01,18171,supermarket,433
2019-01,18173,supermarket,1962
2019-01,18175,supermarket,720
2019-01,18177,supermarket,2063
2019-01,18179,supermarket,1065
2019-01,18181,supermarket,926
2019-01,18183,supermarket,1260
2019-01,19001,supermarket,416
2019-01,19003,supermarket,251
2019-01,19005,supermarket,421
2019-01,19007,supermarket,576
2019-01,19009,supermarket,213
2019-01,19011,supermarket,1497
2019-01,19013,supermarket,3476
2019-01,19015,supermarket,1329
2019-01,19017,supermarket,641
2019-01,19019,supermarket,672
2019-01,19021,supermarket,511
2019-01,19023,supermarket,367
2019-01,19025,supermarket,440
2019-01,19027,supermarket,1147
2019-01,19029,supermarket,718
2019-01,19031,supermarket,979
2019-01,19033,supermarket,1438
2019-01,19035,supermarket,715
2019-01,19037,supermarket,437
2019-01,19039,supermarket,383
2019-01,19041,supermarket,818
2019-01,19043,supermarket,487
2019-01,19045,supermarket,1107
2019-01,19047,supermarket,731
2019-01,19049,supermarket,4738
2019-01,19051,supermarket,304
2019-01,19053,supermarket,381
2019-01,19055,supermarket,834
2019-01,19057,supermarket,1209
2019-01,19059,supermarket,847
2019-01,19061,supermarket,4302
2019-01,19063,supermarket,267
2019-01,19065,supermarket,866
2019-01,19067,supermarket,461
2019-01,19069,supermarket,530
2019-01,19071,supermarket,448
2019-01,19073,supermarket,434
2019-01,19075,supermarket,407
2019-01,19077,supermarket,638
2019-01,19079,supermarket,704
2019-01,19081,supermarket,626
2019-01,19083,supermarket,939
2019-01,19085,supermarket,881
2019-01,19087,supermarket,378
2019-01,19089,supermarket,293
2019-01,19091,supermarket,294
2019-01,19093,supermarket,194
2019-01,19095,supermarket,770
2019-01,19097,supermarket,334
2019-01,19099,supermarket,2823
2019-01,19101,supermarket,462
2019-01,19103,supermarket,8044
2019-01,19105,supermarket,696
2019-01,19107,supermarket,353
2019-01,19109,supermarket,627
2019-01,19111,supermarket,1092
2019-01,19113,supermarket,12071
2019-01,19115,supermarket,308
2019-01,19117,supermarket,377
2019-01,19119,supermarket,234
2019-01,19121,supermarket,1211
2019-01,19123,supermarket,794
2019-01,19125,supermarket,1650
2019-01,19127,supermarket,1019
2019-01,19129,supermarket,938
2019-01,19131,supermarket,406
2019-01,19133,supermarket,351
2019-01,19135,supermarket,378
2019-01,19137,supermarket,371
2019-01,19139,supermarket,1899
2019-01,19141,supermarket,525
2019-01,19143,supermarket,220
2019-01,19145,supermarket,469
2019-01,19147,supermarket,488
2019-01,19149,supermarket,1268
2019-01,19151,supermarket,330
2019-01,19153,supermarket,21926
2019-01,19155,supermarket,3648
2019-01,19157,supermarket,810
2019-01,19159,supermarket,340
2019-01,19161,supermarket,389
2019-01,19163,supermarket,5642
2019-01,19165,supermarket,483
2019-01,19167,supermarket,927
2019-01,19169,supermarket,4494
2019-01,19171,supermarket,616
2019-01,19173,supermarket,213
2019-01,19175,supermarket,478
2019-01,19177,supermarket,205
2019-01,19179,supermarket,1030
2019-01,19181,supermarket,2495
2019-01,19183,supermarket,813
2019-01,19185,supermarket,300
2019-01,19187,supermarket,1004
2019-01,19189,supermarket,624
2019-01,19191,supermarket,493
2019-01,19193,supermarket,3135
2019-01,19195,supermarket,207
2019-01,19197,supermarket,514
2019-01,20001,supermarket,232
2019-01,20003,supermarket,78
2019-01,20005,supermarket,604
2019-01,20007,supermarket,145
2019-01,20009,supermarket,551
2019-01,20011,supermarket,463
2019-01,20013,supermarket,173
2019-01,20015,supermarket,2888
2019-01,20017,supermarket,73
